Classifier,XGBoost,SVM,RandomForest,LinearRegression,SGD
PRE_train,1.0,0.9189578642322915,0.9966149721149722,1.0,0.6197925712519179
REC_train,1.0,0.9189578642322915,0.9966149721149722,1.0,0.6197925712519179
ACC_train,1.0,0.9179334748761501,0.9961844100697604,1.0,0.5222444646648469
AUC_train,1.0,0.9915365967711824,0.9999657863017196,1.0,0
F1_train,1.0,0.91676226815153,0.9962468359464283,1.0,0.4703365906505329
PRE_test,0.5881303881303881,0.7129509379509379,0.5530020442520442,0.6963270988270988,0.5551239367357789
REC_test,0.5900462962962963,0.6879960317460317,0.5530092592592593,0.6590277777777778,0.488723544973545
ACC_test,0.5929243752028562,0.686952288218111,0.5572865952612788,0.6590392729633237,0.5012658227848101
AUC_test,0.9185608746653408,0.9372261192819606,0.8956315161481909,0.9293598334856528,0
F1_test,0.5773068378989432,0.6837202530584884,0.5358278377396024,0.6530330363650797,0.450242482311206
